Manufacturer,Model,Engine size,Fuel type,Year of manufacture, Mileage , Price 
Ford,Fiesta,1,Petrol,2002," 127,300 "," 3,074 "
Porsche,718 Cayman,4,Petrol,2016," 57,850 "," 49,704 "
Ford,Mondeo,1.6,Diesel,2014," 39,190 "," 24,072 "
Toyota,RAV4,1.8,Hybrid,1988," 210,814 "," 1,705 "
VW,Polo,1,Petrol,2006," 127,869 "," 4,101 "
Ford,Focus,1.4,Petrol,2018," 33,603 "," 29,204 "
Ford,Mondeo,1.8,Diesel,2010," 86,686 "," 14,350 "
Toyota,Prius,1.4,Hybrid,2015," 30,663 "," 30,297 "
VW,Polo,1.2,Petrol,2012," 73,470 "," 9,977 "
Ford,Focus,2,Diesel,1992," 262,514 "," 1,049 "
VW,Golf,2,Diesel,2014," 83,047 "," 17,173 "
BMW,Z4,2,Petrol,1990," 293,666 ", 719 
VW,Golf,1.2,Diesel,2007," 92,697 "," 7,792 "
Toyota,RAV4,2.2,Petrol,2007," 79,393 "," 16,026 "
Toyota,Yaris,1.4,Petrol,1998," 97,286 "," 4,046 "
VW,Golf,1.6,Diesel,1989," 222,390 ", 933 
Toyota,RAV4,2.4,Hybrid,2003," 117,425 "," 11,667 "
Toyota,Yaris,1.2,Petrol,1992," 245,990 ", 720 
Toyota,RAV4,2,Hybrid,2018," 28,381 "," 52,671 "
VW,Polo,1.2,Petrol,1998," 155,038 "," 2,118 "
VW,Golf,1.2,Hybrid,1987," 121,744 "," 1,890 "
Ford,Mondeo,1.6,Diesel,1996," 77,584 "," 5,667 "
Toyota,Prius,1,Hybrid,2003," 115,291 "," 6,512 "
Toyota,Prius,1,Hybrid,1990," 238,571 ", 961 
Porsche,911,2.6,Petrol,2009," 66,273 "," 41,963 "
Toyota,Prius,1.8,Hybrid,2017," 31,958 "," 38,961 "
Porsche,911,3.5,Petrol,2005," 151,556 "," 19,747 "
Toyota,Yaris,1.2,Petrol,2002," 179,097 "," 2,548 "
VW,Golf,2,Petrol,2020," 18,985 "," 36,387 "
Toyota,RAV4,1.8,Hybrid,2002," 66,990 "," 13,553 "
Ford,Focus,1,Hybrid,2010," 85,131 "," 12,472 "
Ford,Fiesta,1,Petrol,2001," 144,731 "," 2,503 "
VW,Polo,2,Diesel,2008," 97,001 "," 8,784 "
VW,Polo,1.6,Petrol,2016," 52,409 "," 17,257 "
Ford,Fiesta,1.4,Petrol,2010," 112,714 "," 6,936 "
VW,Passat,2,Diesel,1992," 198,540 "," 1,964 "
VW,Passat,1.8,Diesel,1989," 213,162 "," 1,340 "
BMW,Z4,2.2,Petrol,2005," 133,174 "," 8,511 "
VW,Polo,1.6,Petrol,2008," 129,588 "," 5,848 "
BMW,Z4,2,Petrol,1990," 148,586 "," 2,637 "
Ford,Focus,2,Petrol,1995," 91,173 "," 5,181 "
BMW,M5,4,Petrol,2017," 22,759 "," 97,758 "
VW,Polo,1.4,Petrol,1990," 261,526 ", 522 
VW,Passat,1.4,Diesel,1995," 235,594 "," 1,439 "
BMW,Z4,2,Petrol,1995," 42,759 "," 7,873 "
VW,Passat,1.8,Diesel,2005," 103,352 "," 9,633 "
VW,Passat,1.6,Petrol,2003," 63,372 "," 10,001 "
Toyota,Yaris,1,Petrol,2009," 51,787 "," 9,689 "
Ford,Fiesta,1.4,Petrol,2014," 41,495 "," 14,721 "
Toyota,Yaris,1.4,Petrol,2010," 43,111 "," 12,928 "
Ford,Fiesta,1,Diesel,2017," 38,370 "," 16,257 "
Toyota,RAV4,2.4,Petrol,2018," 24,588 "," 49,125 "
VW,Polo,1,Diesel,2000," 207,339 "," 1,480 "
Ford,Fiesta,1,Petrol,1990," 182,958 ", 873 
VW,Passat,1.6,Diesel,1994," 114,647 "," 4,008 "
VW,Polo,1,Petrol,1995," 162,993 "," 1,482 "
VW,Golf,1.2,Petrol,2002," 139,884 "," 3,713 "
Porsche,Cayenne,2.6,Diesel,2015," 33,693 "," 54,037 "
BMW,Z4,2.2,Petrol,2004," 126,777 "," 8,373 "
Ford,Fiesta,1.2,Petrol,2010," 51,553 "," 9,813 "
Toyota,Yaris,1,Petrol,2010," 75,821 "," 8,851 "
VW,Polo,1.4,Diesel,2010," 45,193 "," 11,881 "
VW,Polo,1.6,Petrol,1997," 87,723 "," 3,840 "
Ford,Focus,1.8,Petrol,1993," 279,656 ", 863 
VW,Golf,2,Hybrid,2018," 25,017 "," 36,957 "
Ford,Fiesta,1.2,Petrol,1996," 111,771 "," 2,543 "
Toyota,Prius,1.4,Hybrid,2016," 43,893 "," 29,946 "
Toyota,Yaris,1,Petrol,2007," 118,788 "," 5,306 "
Toyota,Prius,1.4,Hybrid,2016," 43,130 "," 30,085 "
VW,Passat,1.6,Diesel,1991," 247,911 "," 1,052 "
Ford,Focus,2,Petrol,1991," 272,161 ", 854 
VW,Passat,1.6,Diesel,1994," 179,361 "," 2,371 "
Ford,Fiesta,1,Petrol,2009," 66,424 "," 7,616 "
Ford,Mondeo,1.8,Diesel,1999," 104,544 "," 6,058 "
Toyota,Yaris,1,Hybrid,1999," 80,589 "," 4,937 "
Ford,Mondeo,1.4,Diesel,2000," 128,137 "," 4,771 "
Porsche,718 Cayman,2,Petrol,1992," 169,078 "," 3,074 "
VW,Passat,1.6,Petrol,2016," 64,344 "," 23,641 "
VW,Passat,1.6,Diesel,1993," 176,456 "," 2,274 "
Ford,Focus,1.4,Petrol,1985," 179,526 "," 1,105 "
Toyota,RAV4,1.8,Hybrid,1999," 162,425 "," 5,396 "
Porsche,718 Cayman,2.4,Petrol,2021," 14,070 "," 69,526 "
BMW,Z4,2.4,Petrol,1993," 226,492 "," 1,799 "
Ford,Fiesta,1.2,Petrol,1995," 183,332 "," 1,330 "
VW,Golf,2,Petrol,1990," 118,673 "," 2,543 "
Toyota,Prius,1,Hybrid,1993," 333,629 ", 478 
VW,Passat,1.8,Diesel,1991," 155,034 "," 2,526 "
Toyota,Yaris,1.2,Petrol,1990," 200,892 ", 947 
Ford,Focus,1.8,Petrol,2020," 22,371 "," 40,336 "
Ford,Mondeo,1.6,Diesel,2015," 21,834 "," 28,435 "
Ford,Focus,1,Petrol,1985," 223,615 ", 633 
Ford,Mondeo,1.6,Diesel,2007," 100,798 "," 10,008 "
BMW,Z4,2.4,Petrol,1997," 103,758 "," 6,532 "
Ford,Fiesta,1.2,Petrol,1997," 156,919 "," 1,901 "
Toyota,Yaris,1,Petrol,2008," 42,621 "," 9,591 "
VW,Passat,1.4,Diesel,2010," 64,359 "," 15,563 "
Ford,Focus,2,Petrol,2002," 180,048 "," 4,086 "
Ford,Mondeo,1.6,Hybrid,2005," 142,689 "," 7,247 "
VW,Passat,1.6,Diesel,2018," 22,122 "," 36,634 "
BMW,M5,4.4,Petrol,1987," 226,046 "," 2,956 "
Ford,Focus,1.4,Petrol,1987," 236,315 ", 763 
BMW,M5,4.4,Petrol,2008," 109,941 "," 31,711 "
Ford,Fiesta,1,Petrol,2009," 61,615 "," 7,859 "
Ford,Focus,1.8,Diesel,1989," 297,635 ", 585 
Toyota,Prius,1.8,Hybrid,1995," 112,413 "," 5,238 "
Ford,Fiesta,1.2,Petrol,2008," 96,911 "," 6,318 "
VW,Passat,1.6,Diesel,1990," 223,561 "," 1,229 "
VW,Passat,1.4,Diesel,2020," 21,413 "," 39,310 "
BMW,Z4,2.2,Petrol,2018," 32,319 "," 40,706 "
Toyota,RAV4,2.4,Petrol,2021," 6,829 "," 66,031 "
VW,Polo,1.6,Petrol,2010," 108,111 "," 7,878 "
Ford,Mondeo,1.6,Diesel,1998," 137,896 "," 4,132 "
Ford,Focus,1.6,Petrol,2013," 66,163 "," 18,269 "
VW,Passat,1.6,Diesel,2010," 66,410 "," 16,414 "
BMW,Z4,2.2,Petrol,2014," 61,332 "," 26,084 "
Toyota,RAV4,2.4,Petrol,2016," 34,379 "," 40,646 "
Porsche,911,3.5,Petrol,2003," 107,705 "," 24,378 "
VW,Golf,1.8,Diesel,2014," 28,530 "," 23,034 "
VW,Passat,1.6,Diesel,2015," 57,933 "," 24,207 "
BMW,Z4,2.4,Petrol,1997," 146,910 "," 4,671 "
Toyota,Prius,1.4,Hybrid,2001," 152,067 "," 5,040 "
BMW,M5,4,Petrol,2003," 123,913 "," 19,474 "
Toyota,RAV4,1.8,Hybrid,2005," 119,097 "," 11,398 "
VW,Golf,1.2,Diesel,2008," 97,150 "," 8,066 "
Ford,Focus,2,Petrol,2010," 86,405 "," 14,567 "
Toyota,Yaris,1.2,Hybrid,2001," 85,798 "," 5,959 "
VW,Golf,2,Diesel,2015," 50,628 "," 22,743 "
BMW,Z4,3,Petrol,2014," 80,934 "," 26,708 "
VW,Polo,1,Petrol,1998," 97,043 "," 3,036 "
Toyota,Yaris,1,Petrol,2001," 58,770 "," 5,438 "
VW,Passat,1.8,Petrol,2008," 84,855 "," 12,800 "
VW,Passat,1.6,Diesel,2014," 50,898 "," 23,677 "
Ford,Focus,1.6,Diesel,1998," 152,532 "," 3,704 "
Toyota,RAV4,1.8,Hybrid,2001," 212,899 "," 3,981 "
VW,Golf,1.6,Petrol,2001," 140,596 "," 3,988 "
Porsche,718 Cayman,2.4,Petrol,1988," 256,489 "," 1,183 "
BMW,X3,3,Petrol,2018," 20,441 "," 53,379 "
Toyota,Yaris,1.2,Petrol,1986," 147,185 "," 1,145 "
BMW,M5,4.4,Petrol,1997," 172,030 "," 9,255 "
Ford,Focus,1.8,Petrol,2005," 149,956 "," 6,094 "
VW,Passat,1.6,Diesel,2009," 134,426 "," 9,345 "
Toyota,RAV4,1.8,Hybrid,2010," 91,688 "," 19,491 "
Toyota,Prius,1.8,Hybrid,2005," 41,969 "," 16,500 "
VW,Passat,2,Petrol,2013," 38,210 "," 25,482 "
Toyota,Prius,1,Hybrid,2012," 46,972 "," 19,023 "
BMW,X3,2,Diesel,2018," 27,389 "," 44,018 "
VW,Polo,2,Petrol,1995," 128,234 "," 2,778 "
VW,Passat,1.4,Diesel,2008," 112,309 "," 9,705 "
VW,Polo,1.4,Petrol,1984," 225,099 ", 489 
Porsche,Cayenne,2.6,Diesel,2003," 105,361 "," 15,069 "
Ford,Focus,1.4,Petrol,2005," 97,979 "," 8,039 "
Ford,Mondeo,1.6,Petrol,2016," 40,104 "," 26,053 "
VW,Passat,2,Petrol,1993," 158,259 "," 2,822 "
Porsche,718 Cayman,4,Petrol,2018," 20,634 "," 70,913 "
BMW,Z4,2,Petrol,2010," 98,644 "," 14,728 "
Ford,Focus,2,Petrol,1991," 176,358 "," 2,025 "
Ford,Mondeo,1.8,Diesel,1998," 69,223 "," 7,267 "
BMW,X3,3,Petrol,2008," 20,860 "," 27,342 "
Toyota,RAV4,2,Petrol,2009," 59,936 "," 19,881 "
VW,Polo,1.4,Petrol,2012," 58,214 "," 11,916 "
Ford,Fiesta,1.4,Petrol,2020," 33,832 "," 22,982 "
VW,Golf,1.2,Diesel,2009," 104,436 "," 8,174 "
BMW,Z4,2,Petrol,1992," 249,377 "," 1,246 "
Porsche,Cayenne,2.6,Petrol,2003," 143,603 "," 10,667 "
Ford,Mondeo,1.8,Diesel,2007," 115,932 "," 9,481 "
Ford,Fiesta,1.4,Petrol,2016," 61,363 "," 14,854 "
VW,Polo,2,Petrol,2016," 17,810 "," 23,636 "
Toyota,RAV4,1.8,Hybrid,2021," 8,120 "," 68,163 "
VW,Polo,2,Petrol,1990," 142,888 "," 1,771 "
Toyota,Yaris,1,Petrol,2009," 68,094 "," 8,721 "
Ford,Mondeo,2,Diesel,2016," 51,724 "," 28,482 "
VW,Polo,1,Petrol,1998," 224,106 "," 1,062 "
Ford,Fiesta,1,Petrol,2009," 83,796 "," 6,768 "
Toyota,RAV4,2.2,Hybrid,2012," 91,325 "," 24,685 "
VW,Passat,2,Diesel,1997," 173,089 "," 3,416 "
Ford,Focus,2,Diesel,2013," 75,451 "," 20,153 "
Toyota,Prius,1,Hybrid,2006," 103,766 "," 8,671 "
Ford,Mondeo,1.6,Diesel,2014," 82,221 "," 18,224 "
VW,Passat,1.6,Diesel,1985," 19,000 "," 4,129 "
Toyota,RAV4,2.4,Hybrid,2012," 94,338 "," 25,232 "
Porsche,Cayenne,2.6,Diesel,2019," 20,147 "," 76,182 "
VW,Polo,1.2,Diesel,2018," 37,411 "," 19,649 "
Toyota,Yaris,1.2,Petrol,2004," 179,016 "," 2,914 "
Porsche,718 Cayman,2,Petrol,1999," 206,584 "," 3,542 "
Toyota,Prius,1,Hybrid,1996," 87,664 "," 5,001 "
Ford,Mondeo,1.8,Diesel,2016," 29,439 "," 30,886 "
Ford,Focus,1,Diesel,2006," 120,770 "," 6,429 "
Ford,Mondeo,1.6,Diesel,1998," 246,137 "," 1,614 "
Toyota,Prius,1.4,Hybrid,2012," 72,136 "," 19,139 "
Ford,Focus,2,Diesel,2001," 147,478 "," 5,272 "
BMW,Z4,2.4,Petrol,1997," 149,908 "," 4,558 "
BMW,M5,4.4,Petrol,1997," 66,783 "," 20,664 "
Ford,Mondeo,1.4,Diesel,2020," 18,929 "," 37,720 "
VW,Golf,1.4,Diesel,2013," 53,405 "," 16,365 "
VW,Golf,1.4,Diesel,2001," 136,439 "," 4,049 "
VW,Polo,1.2,Petrol,2001," 110,779 "," 3,670 "
VW,Golf,2,Petrol,1991," 188,856 "," 1,528 "
Toyota,Yaris,1,Hybrid,2013," 12,867 "," 19,025 "
Ford,Focus,2,Diesel,1994," 162,098 "," 2,930 "
Ford,Mondeo,1.6,Diesel,2013," 79,521 "," 17,370 "
Ford,Mondeo,1.8,Diesel,2011," 97,523 "," 14,195 "
VW,Golf,1.6,Petrol,1994," 104,541 "," 3,304 "
VW,Golf,1.6,Petrol,2016," 57,451 "," 19,835 "
Toyota,Yaris,1.2,Petrol,2003," 104,794 "," 4,947 "
Toyota,Yaris,1,Petrol,2002," 227,469 "," 1,517 "
VW,Passat,1.8,Diesel,2006," 81,107 "," 12,073 "
Ford,Fiesta,1.2,Petrol,2008," 79,566 "," 7,142 "
Toyota,Yaris,1.4,Petrol,2007," 85,068 "," 8,043 "
Toyota,RAV4,2,Hybrid,2000," 123,838 "," 8,299 "
Toyota,RAV4,2.2,Hybrid,2014," 66,511 "," 33,453 "
VW,Passat,1.6,Diesel,1999," 207,639 "," 2,584 "
BMW,X3,3,Diesel,1990," 150,375 "," 3,510 "
VW,Passat,1.4,Diesel,2013," 70,458 "," 18,256 "
Toyota,Prius,1.8,Hybrid,2016," 44,550 "," 33,820 "
VW,Passat,1.6,Petrol,2012," 53,390 "," 19,428 "
Porsche,Cayenne,2.6,Diesel,2015," 46,563 "," 50,028 "
Ford,Fiesta,1,Petrol,2002," 184,586 "," 1,916 "
Ford,Fiesta,1.2,Petrol,2004," 160,915 "," 2,933 "
Toyota,Yaris,1,Hybrid,2022," 5,179 "," 36,086 "
Toyota,Yaris,1.4,Hybrid,2003," 181,179 "," 3,468 "
VW,Polo,1.4,Petrol,2019," 23,181 "," 23,449 "
Toyota,Yaris,1.4,Hybrid,2016," 66,611 "," 19,942 "
VW,Golf,1.8,Hybrid,1999," 105,901 "," 5,810 "
Ford,Focus,1.4,Diesel,2014," 24,652 "," 24,721 "
Toyota,Yaris,1,Petrol,1995," 255,196 ", 737 
VW,Polo,1,Petrol,2014," 24,579 "," 14,089 "
Toyota,RAV4,1.8,Petrol,2021," 21,354 "," 52,908 "
VW,Golf,2,Petrol,1991," 117,615 "," 2,741 "
Ford,Focus,2,Petrol,1999," 135,077 "," 4,855 "
Toyota,RAV4,2,Hybrid,2006," 94,325 "," 15,441 "
Ford,Fiesta,1.4,Petrol,2010," 96,320 "," 7,831 "
VW,Golf,1.6,Petrol,1990," 137,231 "," 1,967 "
